word;translation;gender;note;tags
smorzare;dämpfen, abschwächen;;;verb
affievolire;abschwächen, schwinden;;;verb
sottoposto;Untergebene;[m];;noun
sottoporre;jmd etw unterziehen/aussetzen;;;verb
asse;Achse;[m];;noun
prorompere;ausbrechen, übertreten;;;verb
avere strizza di qn;Schiff vor etwas haben;;;verb
pentacolo;Pentagramm;[m];;noun
balia;Gewalt, Herrschaft;[f];;noun
chicco;Korn;[m];;noun
spiraglio;Spalt, Lichtstrahl;[m];;noun
manfrina;Leier;[f];;noun
strozzare;erwürgen, verengen;;;verb
stomachevole;ekelerregend, ekelhaft;;;adjective
petulante;aufdringlich, lästig;;;adjective
sepolcrale;Grab-, Grabes-;;;adjective
budello;Darm, Gedärm;[m];;noun
pacchia;Glücksfall, angenehmes Leben;[f];;noun
merlo;Amsel;[m];;noun
fradicio;durchnässt, völlig;;;adjective
cingere;umgeben, umfassen;;;verb
sgraffignare;stibitzen, klauen;;;verb
sgombro;Makrele;[m];;noun
ragnatela;Spinnennetz;[f];;noun
cartilagine;Knorpel;[f];;noun
corteccia;Rinde, Schale;[f];;noun
inimicare;zum Feind machen, verfeinden;;;verb
immondizia;Abfall, Müll;[f];;noun
nettezza;Sauberkeit, Reinheit;[f];;noun
talpa;Maulwurf, Spitzel;[f];;noun
lombrico;Regenwurm;[m];;noun
arcuare;biegen;;;verb
stolidamente;töricht, dümmlich;;;adverb
aiuola;Beet;[f];;noun
foro;Forum, Gericht;[m];;noun
moquette;Teppichboden;[f];;noun
folletto;Kobold;[m];;noun
irrequieto;unruhig, ruhelos;;;adjective
recalcitrante;widerspenstig;;;adjective
soppiatto;heimlich, unbemerkt;;;adjective
stuolo;Schar, Menge;[m];;noun
tirapiedi;Handlanger;[m];;noun
lacchè;Lakai;[m];;noun
valuta;Währung;[f];;noun
gracidare;quaken;;;verb
vernice;Lack;[f];;noun
appiglio;Halt, Anlass;[m];;noun
ammazzare;umbringen, ermorden;;;verb
alone;Heiligenschein;[m];;noun
bilia;Murmel;[f];;noun
biglia;Marmor;[f];;noun
sciacallo;Schakal, Plünderer;[m];;noun
balaustrata;Balustrade, Geländer;[f];;noun
mattonella;Fliese, Kachel;[f];;noun
ortaggio;Gemüse;[m];;noun
mannaia;Beil;[f];;noun
eccome;jawohl;;;
scagliare;schleudern, werfen;;;verb
falce;Sichel, Sense;[f];;noun
fattezze;Gesichtszüge;[f];;noun
carabattola;Kram, Plunder;[f];;noun
grezzo;roh, grob;;;adjective
nodo;Knoten;[m];;noun
venatura;Ader, Maserung;[f];;noun
lepre;Hase;[f];;noun
penna;Feder, Gefieder;[f];;noun
brezza;Brise;[f];;noun
scarponcino;Halbstiefel, Wanderschuhe;[m];;noun
frusciare;rauschen, rascheln;;;verb
paralume;Lampenschirm;[m];;noun
obnubilare;trüben;;;verb
ricoprire;bedecken, abdecken;;;verb
bilico;Zapfen;[m];;noun
profusione;Überfluss, Schwall;[f];;noun
proboscide;Rüssel;[f];;noun
giubilo;Jubel;[m];;noun
tenere a bada;hinhalten;;;verb
grondare;triefen;;;verb
gru;Kranich, Kran;[f];;noun
ormeggiare;vertäuen, festmachen;;;verb
rannicchiare;die Beine anziehen, sich zusammenkauern;;;verb
incuneare;ver-, einkeilen;;;verb
fare calca;sich drängen;;;verb
ciarlatano;Scharlatan;[m];;noun
sgranare;ent-, aushülsen;;;verb
bigiotteria;Modeschmuck;[f];;noun
contrattazione;Verhandlung;[f];;noun
dabbenaggine;Naivität, Einfältigkeit;[f];;noun
avidità;Gier, Sucht;[f];;noun
paccottiglia;Ausschussware, Ramsch;[f];;noun
calcagno;Ferse;[m];;noun
puzza;Gestank;[f];;noun
scoraggiare;entmutigen;;;verb
merce;Ware, Gut;[f];;noun
mandria;Herde;[f];;noun
bovino;Rind, Ochse;[m];;noun
noncuranza;Gleichgültigkeit;[f];;noun
assediare;belagern;;;verb
danaroso;vermögend, reich;;;adjective
percezione;Wahrnehmung;[f];;noun
Borste;Borste;[f];;noun
riesaminare;erneut prüfen, erneut untersuchen;;;verb
giubbotto;Jacke, Weste;[m];;noun
impiccare;er-, aufhängen;;;verb
innanzi;weiter, vorgan;;;adverb
graticola;Gitterrost;[f];;noun
antifurto;einbruch-, diebstahlsicher;;;adjective
zanna;Stoßzahn, Reißzahn;[f];;noun
addome;Unterleib;[m];;noun
smollare;lockern, lösen;;;verb
commisurare;anpassen, bemessen;;;verb
capestro;Strang, Strick;[m];;noun
echeggiare;hallen, dröhnen;;;verb
scartoffia;Wisch, Schreibkram;[f];;noun
fascicolare;zusammenheften;;;verb
fascicolo;Heft, Akte;[m];;noun
esteso;ausgedeht, erweitert;;;adjective
svolazzare;fliegen, flattern;;;verb
dondolo;Hollywoodschaukel;[m];;noun
groviglio;Gewirr;[m];;noun
baccano;Lärm, Radau;[m];;noun
piccione;Taube;[m];;noun
abbaino;Dachfenster, Dachlucke;[m];;noun
abbaiare;bellen;;;verb
mazzolino;Sträußchen;[m];;noun
risalire;wieder aufsteigen, hochgehen;;;verb
crogiolare;köcheln;;;verb
fiocco;Schleife;[m];;noun
spalmabile;streichfähig, Streich-;;;adjective
calvizie;Kahlköpfigkeit;[f];;noun
stizza;Ärger, Wut;[f];;noun
cagnolino;Hündchen;[m];;noun
bizzoso;bockig, launenhaft;;;adjective
parafango;Kotflügel;[m];;noun
masnada;Horde;[f];;noun
sfogo;Abzug, Abfluss;[m];;noun
pasticciare;verpfuschen, beschmieren;;;verb
astratto;abstrakt;;;adjective
protendere;aus-, vorstrecken;;;verb
muschio;Moos;[m];;noun
quarzo;Quarz;[m];;noun
fisarmonica;Akkordeon;[f];;noun
calabrone;Hornisse;[m];;noun
mirabile;wundervoll, wundersam;;;adjective
mortaio;Mörser;[m];;noun
schiera;Schar, Reihe;[f];;noun
inebriare;berauschen;;;verb
soporifero;einschläfernd;;;adjective
appollaiarsi;sich niederkauern, sich hocken;;;verb
abbazia;Abtei;[f];;noun
alleato;Verbündete;[m];;noun
fognario;Kanalisations-, Abwasser-;;;adjective
arcaico;archaisch;;;adjective
dilaniare;zerreißen, zerfetzen;;;verb
idem;ebenso, desgleichen;;;adverb, pronoun
intercapedine;Zwischenraum;[f];;noun
sfrontatezza;Frechheit, Unverschämtheit;[f];;noun
custodire;aufbewahren, verwahren;;;verb
cupidigia;Gier, Begierde;;;noun
criniera;Mähne;[f];;noun
prua;Bug (Schiff);[f];;noun
licenziare;kündigen, entlassen;;;verb
cannuccia;Strohhalm;[f];;noun
cianfrusaglie;Krimskrams, Schickschnack;;;noun
smagrire;abmagern;;;verb
sottomettere;unterwerfen;;;verb
sollecitare;etw von jemandem verlangen;;;verb
anzi;im Gegenteil, sondern;;;conjunction
vanteria;Prahlerei;[f];;noun
lamentela;Klage, Gejammer;[f];;noun
fiducioso;vertrauensvoll, zuversichtlich;;;adjective
ombelico;Bauchnabel;[m];;noun
confabulare;tuscheln;;;verb
vezzo;Angewohnheit;[m];;noun
panciotto;Weste;[m];;noun
pinguedine;Fettleibigkeit;[f];;noun
consueto;üblich, gewohnt;;;adjective
amarezza;Bitterkeit;[f];;noun
sprone;Sporn, Ansporn;[m];;noun
demordere;ablassen (loslassen);;;verb
rincrescimento;Bedauern;[m];;noun
accenni;Anspielung, Erwähnung;[m];;noun
nocciolo;Kern;[m];;noun
tabarro;schwerer Windermantel;[m];;noun
egiziano;Ägypter;[m];;noun
meninge;Hirnhaut;[f];;noun
stuoia;Matte;[f];;noun
grondaia;Regenrinne;[f];;noun
rossastro;rötlich;;;adjective
maliardo;bezaubernd;[f];;noun
appiccicare;kleben, anheften;;;verb
antistante;gegenüberliegend;;;adjective
trafelato;atemlos, abgehetzt;;;adjective
ravvicinare;näher rücken, annähern;;;verb
smammare;abzischen;;;verb
cetriolo;Gurke;[m];;noun
fondoschiena;Hintern;[m];;noun
bersaglio;Ziel (Zielscheibe);[m];;noun
bersagliare;unter Beschuss nehmen;;;verb
randellare;verprügeln, knüppeln;;;verb
connotare;kennzeichnen;;;verb
scheggia;Splitter;[f];;noun
divampare;auflodern, aufflammen;;;verb
raggrinzire;zerknittern, runzeln;;;verb
indietreggiare;zurücktreten, zurückgehen;;;verb
frantume;Trümmer, Stücke;[m];;noun
lesto;flink, wendig;;;adjective
scossone;Ruck, Stoß;[m];;noun
cattiveria;Boshaftigkeit;[f];;noun
seppellire;beerdigen, begraben;;;verb
cozzare;zusammenstoßen;;;verb
maglia;Masche, Pullover;[f];;noun
maialino;Ferkel;[m];;noun
spettro;Gespenst;[m];;noun
sbadataggine;Zerstreutheit, Unachtsamkeit;[f];;noun
